course	lesson	student	instructor	createdAt
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:00 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:06 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:09 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:10 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:11 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:12 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:13 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:14 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:15 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:17 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:18 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:20 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:22 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:23 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:24 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:26 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:05:27 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:20:52 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:21:21 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:21:33 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:21:48 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:22:01 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:22:06 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:22:26 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:22:44 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:23:04 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:23:17 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:23:37 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:23:53 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:25:48 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:39:55 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:40:14 2017
INTRO	INTRO1	mpachon	FSI2017	Mon Jun 12 17:40:37 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:42:34 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:42:50 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:43:15 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:43:39 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:43:57 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:44:07 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:44:37 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:44:45 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:45:16 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:45:24 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:46:02 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:50:43 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:50:58 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:51:19 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:55:41 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:55:53 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:56:10 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:57:30 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:58:33 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:58:53 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:59:07 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:59:24 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:59:46 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 17:59:56 2017
INTRO	INTRO2	mpachon	FSI2017	Mon Jun 12 18:00:43 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:15:38 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:23:20 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:25:37 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:25:56 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:27:01 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:27:11 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:27:23 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:27:50 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:28:01 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:33:51 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:34:41 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:36:07 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:36:40 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:38:55 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:39:49 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:43:41 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:44:53 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:44:57 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:44:59 2017
DISCOVERY	DISCOVERY1	signoret	FSI2017	Mon Jun 12 16:45:03 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:05:36 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:06:27 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:06:48 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:06:52 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:07:00 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:07:10 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:07:17 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:07:33 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:07:46 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:07:57 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:08:03 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:08:46 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:09:16 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:09:50 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:11:39 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:12:00 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:12:11 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:12:34 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:13:12 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:13:32 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:14:37 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:14:46 2017
INTRO	INTRO1	signoret	FSI2017	Mon Jun 12 16:14:57 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:31:22 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:32:29 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:32:34 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:00 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:07 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:11 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:17 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:20 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:31 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:40 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:48 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:51 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:33:56 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:34:03 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:34:09 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:34:23 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:34:35 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:34:46 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:34:55 2017
INTRO	INTRO1	tsimko	FSI2017	Mon Jun 12 20:35:07 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:36:21 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:36:29 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:36:35 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:36:39 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:36:47 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:36:52 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:37:05 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:37:15 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:37:26 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:37:40 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:37:50 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:38:02 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:38:25 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:39:14 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:39:39 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:40:16 2017
MEASUREMENT	MEASUREMENT1	tsimko	FSI2017	Mon Jun 12 20:40:34 2017
